GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend-java,psansa.api.security,JwtService,0,66,0,0,0,18,0,2,0,2
backend-java,psansa.api.security,JwtAuthFilter.new SecurityContext() {...},15,15,4,0,3,2,5,3,3,3
backend-java,psansa.api.security,JwtAuthFilter,12,77,2,2,4,22,2,2,0,2
backend-java,psansa.api.security,PasswordService,12,0,0,0,3,0,3,0,3,0
backend-java,psansa.api.repo,PostRepo,0,64,0,0,0,10,0,3,0,3
backend-java,psansa.api.repo,UserRepo,84,0,0,0,11,0,3,0,3,0
backend-java,psansa.api.dto,RegisterReq,12,0,0,0,1,0,1,0,1,0
backend-java,psansa.api.dto,LoginReq,9,0,0,0,1,0,1,0,1,0
backend-java,psansa.api.dto,PostReq,0,9,0,0,0,1,0,1,0,1
backend-java,psansa.api.config,CassandraProvider,0,94,2,4,0,19,2,4,0,3
backend-java,psansa.api.resources,AuthResource,29,30,3,1,4,5,3,2,1,2
backend-java,psansa.api.resources,PostResource,8,103,4,4,0,20,4,4,0,4
